what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265717020671
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265717021656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265717047703
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265717047906
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265717047921
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265717048000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265717309953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265717310875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265718259109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265718259328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265718259437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265718259812
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265718261250
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265718261421
stopped,bundle,org.eclipse.mylyn.pde.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.pde.ui",1265718261937
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1265718261953
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20090527,"org.eclipse.pde.ds.ui",1265718261953
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1265718261968
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1265718261984
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1265718262015
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1265718262015
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1265718262031
