what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1265768943625
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1265768943843
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1265768943875
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1265768943875
started,bundle,org.tigris.subversion.subclipse.core,1.0.0,"org.tigris.subversion.subclipse.core",1265768944031
os,sysinfo,,,"win32",1265768944046
arch,sysinfo,,,"x86",1265768944046
ws,sysinfo,,,"win32",1265768944046
locale,sysinfo,,,"zh_CN",1265768944046
processors,sysinfo,,,"2",1265768944203
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1265768944203
java.runtime.version,sysinfo,,,"1.5.0_12-b04",1265768944203
java.specification.name,sysinfo,,,"Java Platform API Specification",1265768944203
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265768944203
java.specification.version,sysinfo,,,"1.5",1265768944203
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1265768944203
java.version,sysinfo,,,"1.5.0_12",1265768944203
java.vm.info,sysinfo,,,"mixed mode",1265768944203
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1265768944203
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1265768944203
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265768944203
java.vm.specification.version,sysinfo,,,"1.0",1265768944203
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1265768944203
java.vm.version,sysinfo,,,"1.5.0_12-b04",1265768944203
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1265768944968
