2008-05-02,180.19,181.92,178.55,180.94,35569600
2008-05-01,174.96,180.00,174.86,180.00,32227000
2008-04-30,176.19,180.00,172.92,173.95,40671800
2008-04-29,171.11,175.66,170.25,175.05,32946600
2008-04-28,169.75,173.75,169.13,172.24,28114800
2008-04-25,170.70,171.10,166.42,169.73,35445500
2008-04-24,165.34,169.98,159.19,168.94,60573800
2008-04-23,164.05,164.84,161.08,162.89,52879200
2008-04-22,167.40,168.00,158.09,160.20,51314300
2008-04-21,162.21,168.50,161.76,168.16,37078300
2008-04-18,159.12,162.26,158.38,161.04,36653600
2008-04-17,154.17,156.00,153.35,154.49,25152400
2008-04-16,151.72,154.10,150.62,153.70,28395000
2008-04-15,149.40,149.72,145.72,148.38,24900600
2008-04-14,146.77,149.25,144.54,147.78,30181700
2008-04-11,152.72,153.30,146.40,147.14,43000000
2008-04-10,151.13,155.42,150.60,154.55,34134400
2008-04-09,153.31,153.89,150.46,151.44,31192800
2008-04-08,153.55,156.45,152.32,152.84,36224800
2008-04-07,156.13,159.69,155.11,155.89,41368800
2008-04-04,152.19,154.71,150.75,153.08,30514900
2008-04-03,147.06,153.63,147.00,151.61,37556000
2008-04-02,148.78,151.20,145.85,147.49,37253700
2008-04-01,146.30,149.66,143.61,149.53,36846400
2008-03-31,143.27,145.71,142.52,143.50,27418300
2008-03-28,141.80,144.65,141.60,143.01,25521800
2008-03-27,144.95,145.31,139.99,140.25,35625400
2008-03-26,140.87,145.74,140.64,145.06,42189900
2008-03-25,139.96,143.10,137.33,140.98,37585400
2008-03-24,134.01,140.85,133.64,139.53,38104300
2008-03-20,131.12,133.29,129.18,133.27,32422900
2008-03-19,133.12,134.29,129.67,129.67,36077000
2008-03-18,129.18,133.00,128.67,132.82,42978200
2008-03-17,122.55,128.59,122.55,126.73,38282100
2008-03-14,129.88,130.30,124.20,126.61,41308600
2008-03-13,124.10,129.50,123.00,127.94,45075100
2008-03-12,127.04,128.68,125.17,126.03,37825200
2008-03-11,124.10,127.48,122.00,127.35,41569400
2008-03-10,121.98,123.46,119.37,119.69,35699600
2008-03-07,120.41,122.98,119.05,122.25,43945100
2008-03-06,124.61,127.50,120.81,120.93,52603500
2008-03-05,123.58,125.14,122.25,124.49,43510300
2008-03-04,121.99,124.88,120.40,124.62,63747100
2008-03-03,124.44,125.98,118.00,121.73,56894400
2008-02-29,129.29,130.21,124.80,125.02,44820800
2008-02-28,127.20,132.20,125.77,129.91,57752400
2008-02-27,118.23,123.05,118.09,122.96,52360300
2008-02-26,117.64,121.09,115.44,119.15,53728600
2008-02-25,118.59,120.17,116.66,119.74,44856700
2008-02-22,122.48,122.51,115.87,119.46,54599500
