what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618300062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618302812
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618305906
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618305906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618306000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618311453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618321296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618321296
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618321375
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618341171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618346312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618346312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618346437
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618413937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618417062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618417078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618417171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618418750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618424781
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618424781
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618424843
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265618470031
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1265618472609
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265618472609
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265618474062
