what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619044312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619046375
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619046390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619046515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619050390
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265619053171
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265619053171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619053875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619053875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619053968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619126218
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1265619127406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619132718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619132750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619132796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619165937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619170890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619170906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619170968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619173578
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265619179359
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265619179500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619183796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619202015
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265619206703
