2008-05-02,13058.20
2008-05-01,13010.00
2008-04-30,12820.13
2008-04-29,12831.94
2008-04-28,12871.75
2008-04-25,12891.86
2008-04-24,12848.95
2008-04-23,12763.22
2008-04-22,12720.23
2008-04-21,12825.02
2008-04-18,12849.36
2008-04-17,12620.49
2008-04-16,12619.27
2008-04-15,12362.47
2008-04-14,12302.06
2008-04-11,12325.42
2008-04-10,12581.98
2008-04-09,12527.26
2008-04-08,12576.44
2008-04-07,12612.43
2008-04-04,12609.42
2008-04-03,12626.03
2008-04-02,12608.92
2008-04-01,12654.36
2008-03-31,12262.89
2008-03-28,12216.40
2008-03-27,12302.46
2008-03-26,12422.86
2008-03-25,12532.60
2008-03-24,12548.64
2008-03-20,12361.32
2008-03-19,12099.66
2008-03-18,12392.66
2008-03-17,11972.25
2008-03-14,11951.09
2008-03-13,12145.74
2008-03-12,12110.24
2008-03-11,12156.81
2008-03-10,11740.15
2008-03-07,11893.69
2008-03-06,12040.39
2008-03-05,12254.99
2008-03-04,12213.80
2008-03-03,12258.90
2008-02-29,12266.39
2008-02-28,12582.18
2008-02-27,12694.28
2008-02-26,12684.92
2008-02-25,12570.22
2008-02-22,12381.02
2008-02-21,12284.30
2008-02-20,12427.26
2008-02-19,12337.22
2008-02-15,12348.21
2008-02-14,12376.98
2008-02-13,12552.24
2008-02-12,12373.41
2008-02-11,12240.01
2008-02-08,12182.13
2008-02-07,12247.00
2008-02-06,12200.10
2008-02-05,12265.13
2008-02-04,12635.16
2008-02-01,12743.19
2008-01-31,12650.36
2008-01-30,12442.83
2008-01-29,12480.30
2008-01-28,12383.89
2008-01-25,12207.17
2008-01-24,12378.61
2008-01-23,12270.17
2008-01-22,11971.19
2008-01-18,12099.30
2008-01-17,12159.21
2008-01-16,12466.16
2008-01-15,12501.11
2008-01-14,12778.15
2008-01-11,12606.30
2008-01-10,12853.09
2008-01-09,12735.31
2008-01-08,12589.07
2008-01-07,12827.49
2008-01-04,12800.18
2008-01-03,13056.72
2008-01-02,13043.96
2007-12-31,13264.82
2007-12-28,13365.87
2007-12-27,13359.61
2007-12-26,13551.69
2007-12-24,13550.04
2007-12-21,13450.65
2007-12-20,13245.64
2007-12-19,13207.27
2007-12-18,13232.47
2007-12-17,13167.20
2007-12-14,13339.85
2007-12-13,13517.96
2007-12-12,13473.90
2007-12-11,13432.77
2007-12-10,13727.03
2007-12-07,13625.58
2007-12-06,13619.89
2007-12-05,13444.96
2007-12-04,13248.73
2007-12-03,13314.57
2007-11-30,13371.72
2007-11-29,13311.73
2007-11-28,13289.45
2007-11-27,12958.44
2007-11-26,12743.44
2007-11-23,12980.88
2007-11-21,12799.04
2007-11-20,13010.14
2007-11-19,12958.44
2007-11-16,13176.79
2007-11-15,13110.05
2007-11-14,13231.01
2007-11-13,13307.09
2007-11-12,12987.55
2007-11-09,13042.74
2007-11-08,13266.29
2007-11-07,13300.02
2007-11-06,13660.94
2007-11-05,13543.40
2007-11-02,13595.10
2007-11-01,13567.87
2007-10-31,13930.01
2007-10-30,13792.47
2007-10-29,13870.26
2007-10-26,13806.70
2007-10-25,13671.92
2007-10-24,13675.25
2007-10-23,13676.23
2007-10-22,13566.97
2007-10-19,13522.02
2007-10-18,13888.96
2007-10-17,13892.54
2007-10-16,13912.94
2007-10-15,13984.80
2007-10-12,14093.08
2007-10-11,14015.12
2007-10-10,14078.69
2007-10-09,14164.53
2007-10-08,14043.73
2007-10-05,14066.01
2007-10-04,13974.31
2007-10-03,13968.05
2007-10-02,14047.31
2007-10-01,14087.55
2007-09-28,13895.63
2007-09-27,13912.94
2007-09-26,13878.15
