0;0;50
1;1;52
2;4;58
3;9;68
4;16;82
5;25;100
6;36;122
7;49;148
8;64;178
9;81;212
10;100;250
11;121;292
12;144;338
13;169;388
14;196;442
15;225;500
16;256;562
17;289;628
18;324;698
19;361;772
20;400;850
21;441;932
22;484;1018
23;529;1108
24;576;1202
25;625;1300
26;676;1402
27;729;1508
28;784;1618
29;841;1732
30;900;1850
31;961;1972
32;1024;2098
33;1089;2228
34;1156;2362
35;1225;2500
36;1296;2642
37;1369;2788
38;1444;2938
39;1521;3092
40;1600;3250
41;1681;3412
42;1764;3578
43;1849;3748
44;1936;3922
45;2025;4100
46;2116;4282
47;2209;4468
48;2304;4658
49;2401;4852
