2008-04-18,2394.52,2412.78,2383.24,2402.97
2008-04-17,2347.32,2348.31,2327.66,2341.83
2008-04-16,2313.42,2352.21,2313.42,2350.11
2008-04-15,2287.43,2291.12,2266.29,2286.04
2008-04-14,2287.02,2296.73,2274.91,2275.82
2008-04-11,2327.70,2328.45,2286.19,2290.24
2008-04-10,2326.78,2363.91,2324.39,2351.70
2008-04-09,2351.94,2353.54,2311.45,2322.12
2008-04-08,2353.58,2359.40,2337.84,2348.76
2008-04-07,2386.62,2390.04,2359.54,2364.83
2008-04-04,2366.91,2391.93,2351.76,2370.98
2008-04-03,2347.91,2373.99,2339.38,2363.30
2008-04-02,2363.42,2381.21,2347.78,2361.40
2008-04-01,2306.51,2362.75,2305.40,2362.75
2008-03-31,2265.15,2289.70,2260.59,2279.10
2008-03-28,2291.32,2304.71,2256.87,2261.18
2008-03-27,2315.04,2315.91,2280.47,2280.83
2008-03-26,2328.62,2331.18,2306.49,2324.36
2008-03-25,2329.16,2346.78,2312.06,2341.05
2008-03-24,2268.20,2336.70,2268.20,2326.75
2008-03-20,2220.50,2258.11,2208.12,2258.11
2008-03-19,2272.12,2280.90,2209.96,2209.96
2008-03-18,2215.61,2268.26,2206.81,2268.26
2008-03-17,2166.94,2200.53,2155.42,2177.01
2008-03-14,2271.21,2277.11,2191.75,2212.49
2008-03-13,2219.28,2272.55,2199.38,2263.61
2008-03-12,2259.97,2282.61,2241.38,2243.87
2008-03-11,2209.65,2255.76,2192.50,2255.76
2008-03-10,2211.14,2216.89,2168.67,2169.34
2008-03-07,2204.48,2242.50,2186.93,2212.49
2008-03-06,2265.67,2272.20,2219.33,2220.50
2008-03-05,2266.49,2290.01,2254.20,2272.81
2008-03-04,2244.21,2266.37,2221.09,2260.28
2008-03-03,2271.26,2275.75,2240.30,2258.60
2008-02-29,2309.06,2311.23,2264.97,2271.48
2008-02-28,2342.56,2352.88,2324.47,2331.57
2008-02-27,2329.16,2363.52,2326.34,2353.78
2008-02-26,2314.42,2361.10,2311.32,2344.99
2008-02-25,2303.41,2333.71,2294.38,2327.48
2008-02-22,2306.61,2308.76,2265.36,2303.35
2008-02-21,2344.08,2353.79,2294.77,2299.78
2008-02-20,2292.82,2331.70,2291.24,2327.10
2008-02-19,2348.98,2352.79,2300.10,2306.20
2008-02-15,2320.58,2329.17,2305.81,2321.80
2008-02-14,2376.22,2376.22,2328.59,2332.54
2008-02-13,2347.22,2373.93,2338.91,2373.93
